roadnumber	frompoint	topoint	settlement	fromwhen	towhen	namingid	extentid	speed
86	19,500	21,860	Kálócfa - Kozmadombja	2010.04.19	2010.08.31	4	3	30
86	159,950	160,100	Bősárkány	2010.04.26	2010.06.30	4	3	30
451	25,135	27,050	Csongrád	2010.03.22	2010.08.27	2	1	40
471	71,000	72,150	Mátészalka	2010.03.30	2010.06.30	4	1	30
471	27,500	28,800	Nyíradony	2010.04.01	2010.06.30	10	1	30
1109	6,650	6,690	Csobánka	2010.05.24	2010.06.21	4	1	30
1111	26,200	26,700	Esztergom	2010.06.04	2010.06.18	10	3	30
1119	27,970	29,456	Tarján	2010.05.13	2010.06.15	7	3	40
1406	1,250	2,860	Mosonmagyaróvár - Máriakálnok	2010.06.03	2010.07.15	4	1	50
2105	13,000	14,386	Galgamácsa	2010.05.16	2010.06.30	6	4	
2105	13,000	14,386	Galgamácsa	2010.06.01	2010.06.30	6	4	
2109	18,970	19,850	Palotás	2010.05.17	2010.06.15	4	3	30
2119	4,865	11,725	Balassagyarmat - Csitár	2010.05.03	2010.06.15	4	3	40
2124	9,615	12,500	Cserháthaláp - Szanda	2010.05.03	2010.06.15	4	3	40
2126	2,100	2,200	Ecseg	2010.05.03	2010.06.15	4	3	40
2127	2,550	4,300	Csécse	2010.05.03	2010.06.15	4	3	40
2206	8,985	10,472	Karancskeszi	2010.04.06	2010.06.30	4	1	30
2301	0,000	2,600	Bátonyterenye - Rákóczibánya	2010.05.03	2010.06.15	4	3	40
2302	7,300	7,500	Kazár	2010.05.03	2010.06.15	4	3	30
2504	0,350	0,950	Eger	2010.05.03	2010.08.02	10	4	
2504	0,950	1,720	Eger	2010.05.03	2010.08.02	10	1	30
2505	52,083	53,023	Miskolc	2010.05.31	2010.06.30	9	3	30
2505	53,570	58,500	Miskolc	2010.05.31	2010.06.30	3	3	30
2507	4,300	4,350	Borsodnádasd	2010.06.01	2010.10.31	10	3	30
2507	3,900	4,300	Borsodnádasd	2010.06.01	2010.07.31	6	3	30
2519	1,511	3,632	Miskolc	2010.05.31	2010.06.30	4	3	30
3216	28,000	28,500	Tiszabura - Tiszaroff	2010.06.04	2010.06.30	6	4	
4422	39,500	39,101	Makó	2010.07.24	2010.08.31	4	2	30
4516	16,900	16,165	Szentes	2010.02.22	2010.08.31	4	1	30
4516	16,145	16,149	Szentes	2010.05.28	2010.06.15	4	1	30
4517	2,060	2,060	Csongrád	2010.03.22	2010.08.27	2	1	40
4519	1,003	1,003	Csongrád	2010.03.22	2010.08.27	2	1	40
4609	23,500	24,000	Jászkarajenő	2010.06.03	2010.06.30	6	1	40
4612	0,000	0,775	Abony	2010.06.03	2010.06.30	7	1	30
4911	0,777	2,000	Nyíregyháza	2010.03.16	2010.10.30	5	1	30
4918	0,000	3,000	Mátészalka - Nyírcsaholy	2010.03.30	2010.06.30	4	1	30
5113	5,775	11,390	Őcsény - Decs	2010.05.06	2010.06.15	7	3	30
5113	11,390	13,415	Decs	2010.04.28	2010.07.15	6	4	30
5204	0,000	9,855	Bugyi - Kiskunlacháza	2010.03.16	2010.07.17	4	4	30
5701	0,000	4,670	Bóly - Szederkény	2010.03.01	2010.08.31	4	4	
5711	4,000	4,850	Kozármisleny	2010.08.01	2010.08.31	4	4	30
6231	0,175	0,224	Paks	2010.03.16	2010.06.15	4	2	30
6316	2,610	3,100	Medina	2010.04.21	2010.07.09	7	1	40
6535	16,082	16,115	Tevel	2010.06.03	2010.06.25	10	3	30
6541	19,450	19,600	Magyaregregy	2010.04.09	2010.08.31	11	3	30
7306	0,000	2,195	Ajka	2010.07.06	2010.07.30	4	1	30
7417	0,650	2,711	Kerkafalva	2010.02.01	2010.12.31	10	6	30
7522	19,500	21,300	Esztergályhorváti	2010.05.31	2010.06.30	10	3	40
7540	3,747	4,247	Letenye - Kistolmács	2010.05.10	2010.06.15	7	1	40
8101	32,137	32,177	Szárliget	2010.05.13	2010.06.15	7	3	30
8102	17,500	18,403	Budakeszi	2010.04.12	2010.06.30	10	1	30
8113	7,902	11,595	Szárliget	2010.05.13	2010.06.15	7	3	40
8116	9,864	15,697	Pákozd - Sukoró	2010.03.16	2010.06.30	11	1	30
8127	26,000	26,400	Dad - Kocs	2010.01.26	2010.06.30	10	5	
8135	20,980	21,040	Dad - Császár	2010.05.31	2010.06.18	6	3	40
8135	10,312	10,612	Kecskéd	2010.05.13	2010.06.15	7	3	40
8136	18,017	19,397	Nagyigmánd	2010.03.24	2010.06.30	1	2	40
8139	15,017	15,017	Komárom	2010.03.24	2010.06.30	1	1	40
8142	0,511	1,680	Komárom	2010.03.24	2010.06.30	1	1	30
8147	5,950	6,050	Nagyigmánd	2010.06.24	2010.06.30	4	1	40
8301	17,706	32,000	Bakonybél - Nagygyimót	2010.06.03	2010.06.30	6	1	40
8302	2,000	25,000	Pápa - Gic	2010.06.03	2010.06.30	6	1	40
8302	18,671	18,771	Pápateszér	2010.02.24	2010.06.30	4	3	30
8416	8,000	9,000	Malomsok	2010.06.02	2010.06.30	6	3	30
8437	0,000	2,200	Vashosszúfalu	2010.03.25	2010.07.23	4	3	30
8445	2,420	3,013	Vép - Nemesbőd	2010.04.23	2010.11.15	4	5	40
8446	11,326	12,207	Szeleste	2010.09.08	2010.09.30	4	1	40
8446	1,000	2,200	Sárvár	2010.03.29	2010.08.30	4	3	30
8453	0,000	1,055	Tokorcs - Kemenesmihályfa	2010.03.16	2010.07.13	4	3	30
8509	3,000	7,200	Markotabödöge	2010.06.01	2010.06.17	3	3	30
8627	10,500	11,000	Lövő	2010.05.29	2010.06.25	4	3	30
8901	2,400	2,600	Szombathely	2010.06.02	2010.09.30	2	2	30
11129	0,151	0,251	Tát	2010.05.13	2010.06.15	7	3	40
12126	0,030	0,350	Borsosberény	2010.05.17	2010.06.15	4	3	30
14101	0,000	1,000	Öttevény	2010.06.01	2010.06.16	3	3	30
21112	1,770	7,085	Sződ	2010.05.05	2010.06.16	7	3	30
21153	6,250	10,110	Legénd	2010.05.03	2010.06.15	4	3	40
22101	8,100	9,800	Dejtár	2010.05.03	2010.06.15	4	3	40
22109	6,480	7,234	Karancsalja	2010.05.17	2010.06.15	4	3	30
